['.0']
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.76', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.36', '1015.77', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.37', '1015.79', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.93', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.92', '1015.98', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.94', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.96', '1016.03', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.97', '1016.01', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['25.98', '1016.02', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.01', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.03', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
"['26.02', '1016.04', '44.144466', '29.100855', '710.0']"
